created_at,text,engagement_rate,like_count,retweet_count,media_type
2025-10-31 15:16:12+00:00,"RT @goto_thex: 良いpostをしてもXは伸びません。

必要なのは〇〇だけ。

✅ AIチート可能
✅ フォロワー0でもパクれる
✅ 実績ゼロでも0.2秒で再現できる

Xがクッッソ簡単に伸びちゃう
㊙️スキル教えちゃいます😎

 https://t.co/f4v…",111.60000000000001,0,558,none
2025-10-25 15:45:34+00:00,"RT @trawi_site: ◼️日本リスキリングコンソーシアム◼️
学び続けよう、未来のために。

IT、デザイン、データ分析などの
564講座を無料で勉強できる

【会員登録（無料）のメリット】
❶ 初級から上級まで1,597個の講座がある
❷ 就職・転職・副業をマッチン…",1.7999999999999998,0,9,none
2025-11-03 08:44:54+00:00,"noteで記事を書きました！この投稿をリポストするとお得に記事を読むことができます。
会社員でもできる小さな投資術💰──信頼資本とお金を育てる3つの層 | AI Narrative Studio @ai_narrative25 #note https://t.co/NNPU9uEE1A",1.0,5,0,none
2025-10-25 13:54:16+00:00,"LINEスタンプづくり、思ったより沼。
Canvaでそのまま生成してみたけど、同じキャラのはずなのに毎回ちょっと違う。
目の形とか髪の流れとか、微妙にズレるんですよね…。
一貫性って、AI画像だとけっこう難しい。
#AIart #LINEスタンプ #生成AI https://t.co/5BSiokNdNn",0.6,2,0,photo
2025-11-03 07:46:42+00:00,"noteで記事を書きました！この投稿をリポストするとお得に記事を読むことができます。
🚀【対話で学ぶ】Playwright の CI 失敗を 30 分で潰す実践ガイド | AI Narrative Studio @ai_narrative25 #note https://t.co/DQ8Q8qKLtN",0.4,2,0,none
2025-10-28 15:46:07+00:00,"「xx（xx = 感情表現）スタンプを作りたい。
2枚目画像の構図でお願いします。」
これだけ。",0.4,2,0,none
2025-10-28 15:44:54+00:00,"pose and composition follow the reference image, 
for LINE sticker, white background, full body visible

日本語で使いたいなら👇",0.4,1,0,none
2025-10-28 15:43:55+00:00,"📱スマホのブラウザから、Google AI StudioでLINEスタンプ生成！

1枚目にベースとなるキャラ、
2枚目に構図のお手本スタンプを置くだけで…
このプロンプトでいきなり完成版✨

気になるプロンプトは──👇",0.4,1,0,none
2025-10-26 14:25:54+00:00,"【週末 D’AI’Y】AIでつくる！ユイのLINEスタンプ奮闘記｜AI Narrative Studio @ai_narrative25 #AIと学び https://t.co/ridCZr1uqe #ユイとレン先輩
#AIナラティブ #AIスタンプ制作 #週末クリエイター #LeonardoAI #PixAi #NanoBanana #LINEスタンプ #生成AI #DAIY https://t.co/a5TvKJ5rgh",0.4,1,1,photo
2025-10-25 13:55:22+00:00,"いろいろ試して、今は
🧠 https://t.co/hhzk60iZTY（seed固定で安定）
🎨 https://t.co/shrJeC89a4（モデル選べて表現力高い）
🔧 nano banana（細部修正）
この3つの組み合わせに落ち着きそう。
AIを繋いで「同じ世界観」を作るのが、意外と一番クリエイティブな作業かも。
#AIillustration #生成AI",0.4,1,0,none
